Rozwiązania dla macierzy 1:
x26 = -12,5881461349528
x27 = -12,8676160592927
x28 = 36,0468505084191
x29 = -33,222965578196
x30 = -19,0034331817707

Rozwiązania dla macierzy 8:
x1 = 0,693606804538858
x2 = -0,113667365174726
x3 = 1,05266215181113
x4 = -1,02867442965336
x5 = -0,373372733286261
x6 = 1,16476609576889
x7 = -0,418969029179743
x8 = -0,288891978906613
x9 = 0,402441464414903
x10 = 1,26771303361545
x11 = 0,276915955801849
x12 = -2,90558634955074
x13 = 1,12374687642185
x14 = 0,497906120591409
x15 = 1,374467519509
x16 = -1,75894078904291
x17 = 1,05528657112032
x18 = -1,27366770704701
x19 = -1,01700151168591
x20 = -0,0687669585032232
x21 = -1,64933708445193
x22 = -1,13124301227082
x23 = 0,804067247492637
x24 = 0,381221826039757
x25 = -0,527271512629747
x26 = -1,63292296942462
x27 = 0,162981369847469
x28 = 0,321401284656892
x29 = -0,813579000387857
x30 = 0,289102375856604

Rozwiązania dla macierzy 9:
x1 = -2,18748708908075
x2 = -0,353815955114644
x3 = -2,71676504937989
x4 = -1,55920233411556
x5 = 0,355050859193915
x6 = 3,97775858129752
x7 = -2,44469380345208
x8 = -0,310714635734616
x9 = -2,04954825471519
x10 = 0,426662466499799
x11 = -0,817234460733953
x12 = -1,39905801698205
x13 = 6,28518285618763
x14 = -7,56739160214473
x15 = -2,84960236803836
x16 = 0,593586690273867
x17 = 0,224007093750741
x18 = 0,704346898244985
x19 = -1,05542220000508
x20 = 0,243638075555361
x21 = 1,87763591815052
x22 = -0,954488836528191
x23 = 1,18909851294173
x24 = -0,927864274301872
x25 = 0,378643746430681
x26 = 3,92945357521587
x27 = 1,67874294622179
x28 = 2,58038144938471
x29 = -1,01329727146501
x30 = -2,97101072942765

Rozwiązania dla macierzy 10:
x1 = -1,05438575490737
x2 = 0,657388035072151
x3 = 0,401669291934252
x4 = -0,124663273138108
x5 = 0,38587196890727
x6 = 0,810407869609215
x7 = 0,350492194557394
x8 = 0,151575451653963
x9 = -0,0772373210585735
x10 = -0,040723478337128
x11 = -0,0559648403403193
x12 = -0,00831116639694712
x13 = 0,714495200641338
x14 = 0,175661502880539
x15 = 0,0760043123007426
x16 = -0,28545425700883
x17 = 0,0569705943807726
x18 = -1,02053790591389
x19 = 0,129942909520761
x20 = -0,0412390745943267
x21 = 0,451846297947582
x22 = 0,818790360543937
x23 = -0,128613505800016
x24 = 0,433969259247435
x25 = 0,11210094230319
x26 = -0,541765710316489
x27 = -0,759650953908552
x28 = 0,432096096741429
x29 = -0,287053431577739
x30 = -0,21082924686414

Rozwiązania dla macierzy 11:
x1 = -25,3252721719559
x2 = 87,6438381507337
x3 = 33,144596839555
x4 = 19,6163751577898
x5 = -8,01631812823208
x6 = 5,21579554628964
x7 = 17,1765730845392
x8 = -24,1291388812068
x9 = 18,9754964880103
x10 = -18,2177000734446
x11 = -79,0538938578074
x12 = -41,1617200903944
x13 = -52,4427655270474
x14 = 46,2020201487445
x15 = 3,69927567529061
x16 = 13,4962277701725
x17 = -26,0015037803994
x18 = -73,8310137896308
x19 = -40,0421481032188
x20 = 20,1065492185602
x21 = -23,4982705689378
x22 = 31,5887200454622
x23 = -29,9170340286729
x24 = -93,2420345479898
x25 = -39,4449841528136
x26 = -16,2019016060656
x27 = -15,5550392812331
x28 = 1,86747459906041
x29 = -10,3248396973201
x30 = 20,2498611365757

Rozwiązania dla macierzy 12:
x1 = -10,6011339685039
x2 = -9,27180090130812
x3 = -7,39095682838241
x4 = -9,09950542369918
x5 = -10,2881870422511
x6 = 1,96007171765723
x7 = -3,8817983975905
x8 = 18,7943428970182
x9 = 18,824547310399
x10 = -5,56433987226593
x11 = -11,1838993364789
x12 = 2,79430810471931
x13 = -8,26502862537147
x14 = 3,4308727695684
x15 = 9,70273361033739
x16 = -0,631525974006902
x17 = 16,728870416879
x18 = -17,241962221796
x19 = -5,38651657485228
x20 = 9,13185598628698
x21 = 17,2022962345073
x22 = 12,070273943784
x23 = 10,1026882650719
x24 = 15,6052964492551
x25 = 1,38415185312995
x26 = -1,31219914076277
x27 = 1,77947480318107
x28 = 9,43126084136414
x29 = 0,741459520445832
x30 = -2,09180414773391

Rozwiązania dla macierzy 13:
x1 = -1,47431832976341
x2 = -0,423059291982157
x3 = -0,594308406081621
x4 = -2,244184368286
x5 = -0,608597530391182
x6 = -1,35197108792495
x7 = -2,36274912953848
x8 = -0,845153878457049
x9 = -2,52429946684867
x10 = -0,727180711755806
x11 = -0,0215421374104632
x12 = 2,99919158756417
x13 = 4,00931517168005
x14 = 0,110717579588158
x15 = 0,836671525527137
x16 = -1,46717494060707
x17 = 1,06201468473036
x18 = 0,25332995618294
x19 = 2,78023375290199
x20 = -0,447862870858554
x21 = -0,345892807895586
x22 = 3,32828253504311
x23 = -1,36243659417428
x24 = 2,78032742725368
x25 = -3,59908535184492
x26 = 2,9219864514956
x27 = -0,903017604884481
x28 = 2,57936253531494
x29 = 0,264867738819683
x30 = -1,91924474005969

Rozwiązania dla macierzy 14:
x1 = -28,5943302403723
x2 = -9,6872064738904
x3 = -17,1181379449995
x4 = -95,7811190851744
x5 = -94,0114877953325
x6 = 67,1124970209919
x7 = 37,1384277067687
x8 = -55,29574330582
x9 = 40,1433810784499
x10 = -91,7906239027659
x11 = -35,879821904965
x12 = -37,3023326054474
x13 = 39,5412659409148
x14 = 3,98665582193047
x15 = 58,391596061086
x16 = 73,849468855744
x17 = -3,34743518366593
x18 = -54,3883458882922
x19 = -93,4970733364688
x20 = -26,286186181949
x21 = -55,2120049897859
x22 = -48,9483091678075
x23 = 81,8010624701384
x24 = -66,173384847273
x25 = 15,0424079532428
x26 = -69,0651046422072
x27 = 32,7453934026218
x28 = -24,7041194229921
x29 = -9,25416163120645
x30 = 3,28896081871097

Rozwiązania dla macierzy 15:
x1 = 5,96652848248664
x2 = 3,15001710332096
x3 = -1,33669342654647
x4 = -1,85657620223053
x5 = 2,21812381337178
x6 = 1,75346189702708
x7 = 0,0359343335691769
x8 = 0,971715166577137
x9 = -0,779031296653015
x10 = 0,327870120683191
x11 = 1,05908463870294
x12 = 0,910620501227859
x13 = -0,663552824409686
x14 = 1,62345932171208
x15 = -0,948965082964259
x16 = -0,528442322391686
x17 = 1,06324914572641
x18 = -0,635161584160708
x19 = 0,527911811231585
x20 = -0,838299489500717
x21 = 0,485676700878624
x22 = 0,328761311440884
x23 = -2,62248269358123
x24 = 1,66320402305799
x25 = -1,71641313307612
x26 = 0,450978830706507
x27 = 3,36009691663142
x28 = -0,715056492618987
x29 = 0,402401825073334
x30 = 3,24388870153078

Rozwiązania dla macierzy 16:
x1 = 3,7184529524953
x2 = -5,61142371618856
x3 = 1,32356839672023
x4 = -0,874555386882577
x5 = 8,77012265478339
x6 = -3,23416350533827
x7 = 8,82779648316858
x8 = 0,594370454647072
x9 = 4,56762107017851
x10 = -7,93255453855176
x11 = 2,35290238957763
x12 = 7,3823006276514
x13 = 3,44484161092768
x14 = 5,39145079325142
x15 = 1,71626473989568
x16 = 3,43944288730805
x17 = 1,79911152456739
x18 = -10,7313761649339
x19 = 2,46286899179958
x20 = 12,2411356690923
x21 = -0,358133188186592
x22 = 5,01954810375372
x23 = 2,46072958055383
x24 = 3,29413930916689
x25 = 5,86862369736039
x26 = 11,5488793427954
x27 = -1,49420231864375
x28 = -11,2008055724766
x29 = -1,46811449624447
x30 = 13,4420817934024

Rozwiązania dla macierzy 17:
x1 = -0,9074869544398
x2 = 0,579753471084838
x3 = -0,0579532341299708
x4 = 0,303978882613795
x5 = -0,00836673108767245
x6 = 0,472424995091437
x7 = 0,223211418867419
x8 = 0,264670048530624
x9 = -0,38342196548278
x10 = 0,306160531017442
x11 = -0,297250256014444
x12 = 0,228335052572603
x13 = 0,306942173492227
x14 = 0,727595362493908
x15 = 0,201083780701175
x16 = -0,750111394190753
x17 = 0,756486585656687
x18 = 0,756018664478412
x19 = -0,127129939986579
x20 = -0,147947635815723
x21 = -0,107749117484936
x22 = 0,603857261913006
x23 = -0,612999667539419
x24 = -0,967289902633611
x25 = -0,301621651430016
x26 = -0,96977313759792
x27 = 0,386192969695059
x28 = 0,00702826230277043
x29 = 0,0490863027213265
x30 = -0,40122154899404

Rozwiązania dla macierzy 18:
x1 = -0,212126331246024
x2 = 0,853651156926225
x3 = -0,90145501794155
x4 = -0,88493215844693
x5 = -2,56193851374983
x6 = 0,780801230950068
x7 = 0,869429549678517
x8 = -0,795020821267046
x9 = -1,338784127408
x10 = 2,41715856241977
x11 = -1,00358054768697
x12 = -3,1503526142837
x13 = 2,02329816191325
x14 = -0,125609244214051
x15 = 1,67178223824391
x16 = 3,80536696806912
x17 = -1,29705345698763
x18 = 1,40583712472852
x19 = 1,15427472333862
x20 = 0,831993102343229
x21 = 0,579803815782405
x22 = -1,70178026092613
x23 = -0,436888089370201
x24 = -0,204929122316634
x25 = 0,648788094221933
x26 = -1,73698755963089
x27 = 0,545848005751317
x28 = 0,653852692579543
x29 = -0,583370370629902
x30 = 0,090037907142163

Rozwiązania dla macierzy 19:
x1 = 0,303930543794558
x2 = 0,981335097446068
x3 = -0,882549713084034
